bill_number,bill_url,title,committees,latest_action,status,sponsor_name,party,state,district,cosponsors,introduced_date
H.R.9154,https://www.congress.gov/bill/119th-congress/house-bill/9154?s=1&r=1,"To direct the Secretary of Commerce to develop a methodology for identifying country of origin of shrimp, and for other purposes.","Committees: House - Natural Resources; Science, Space, and Technology","Latest Action: House - 06/04/2026 Referred to the Committee on Natural Resources, and in addition to the Committee on Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ( All Actions )",Introduced,"Mace, Nancy",R,SC,1,3,06/04/2026
H.R.9103,https://www.congress.gov/bill/119th-congress/house-bill/9103?s=1&r=2,Merit Restoration Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 06/02/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Norman, Ralph",R,SC,5,4,06/02/2026
H.R.9021,https://www.congress.gov/bill/119th-congress/house-bill/9021?s=1&r=3,Stay Cool Act,"Committees: House - Financial Services; Science, Space, and Technology; Energy and Commerce; Ways and Means; Education and Workforce","Latest Action: House - 05/22/2026 Referred to the Committee on Financial Services, and in addition to the Committees on Science, Space, and Technology , Energy and Commerce, Ways and Means, and Education and Workforce, for a period to be subsequently determined by the Speaker, in each case for... ( All Actions )",Introduced,"Watson Coleman, Bonnie",D,NJ,12,11,05/22/2026
H.R.8981,https://www.congress.gov/bill/119th-congress/house-bill/8981?s=1&r=4,SCALE Biology Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 05/21/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"McClain Delaney, April",D,MD,6,3,05/21/2026
H.R.8938,https://www.congress.gov/bill/119th-congress/house-bill/8938?s=1&r=5,Biotechnology Workforce Alignment Act of 2026,"Committees: House - Science, Space, and Technology","Latest Action: House - 05/20/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"McCormick, Richard",R,GA,7,2,05/20/2026
H.R.8901,https://www.congress.gov/bill/119th-congress/house-bill/8901?s=1&r=6,Securing Innovation and Research from Adversaries Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 05/19/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Moolenaar, John R.",R,MI,2,0,05/19/2026
H.R.8893,https://www.congress.gov/bill/119th-congress/house-bill/8893?s=1&r=7,Protecting Consumers from Deceptive AI Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 05/19/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Foushee, Valerie P.",D,NC,4,3,05/19/2026
H.R.8866,https://www.congress.gov/bill/119th-congress/house-bill/8866?s=1&r=8,Build to Scale Reauthorization Act of 2026,"Committees: House - Science, Space, and Technology","Latest Action: House - 05/15/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Stevens, Haley M.",D,MI,11,4,05/15/2026
H.R.8851,https://www.congress.gov/bill/119th-congress/house-bill/8851?s=1&r=9,One Giant LEAP Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 05/15/2026 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Haridopolos, Mike",R,FL,8,1,05/15/2026
H.R.8846,https://www.congress.gov/bill/119th-congress/house-bill/8846?s=1&r=10,Tornado Preparedness Act,"Committees: House - Science, Space, and Technology; Transportation and Infrastructure","Latest Action: House - 05/15/2026 Referred to the Committee on Science, Space, and Technology , and in addition to the Committee on Transportation and Infrastructure, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the... ( All Actions )",Introduced,"Bell, Wesley",D,MO,1,0,05/15/2026
